10

2
Han Solo
Emperor Palpatine
1 2 
2 1 
2 1 
1 2 
1 2 
2 1 
1 2 
2 1 
2 1 
1 2 
2 1 
2 1 
1 2 
1 2 
1 2 
2 1 
1 2 
2 1 
1 2 
1 2 
1 2 
1 2 
2 1 
1 2 
1 2 
1 2 
1 2 
1 2 
2 1 
1 2 
1 2 
2 1 
2 1 
2 1 
1 2 
1 2 
2 1 
1 2 
1 2 
2 1 
1 2 
1 2 
1 2 
2 1 
1 2 
2 1 
1 2 
2 1 
2 1 
2 1 

2
Mario Mario
Mike Tyson
1 2 
2 1 
2 1 
1 2 
2 1 
2 1 
2 1 
1 2 
2 1 
2 1 
2 1 
2 1 
2 1 
2 1 
1 2 
1 2 
2 1 
1 2 
2 1 
2 1 
1 2 
1 2 
2 1 
1 2 
1 2 
1 2 
1 2 
2 1 
2 1 
1 2 
2 1 
2 1 
1 2 
2 1 
1 2 
1 2 
2 1 
2 1 
2 1 
2 1 
2 1 
1 2 
2 1 
1 2 
2 1 
1 2 
1 2 
2 1 
2 1 
1 2 

2
Samuel Jackson
Richard Nixon
2 1 
1 2 
1 2 
1 2 
1 2 
2 1 
1 2 
2 1 
2 1 
2 1 
1 2 
1 2 
1 2 
1 2 
2 1 
2 1 
1 2 
2 1 
1 2 
2 1 
2 1 
2 1 
2 1 
2 1 
1 2 
2 1 
1 2 
1 2 
2 1 
1 2 
1 2 
2 1 
2 1 
2 1 
1 2 
1 2 
1 2 
2 1 
2 1 
2 1 
1 2 
1 2 
1 2 
1 2 
1 2 
1 2 
2 1 
2 1 
1 2 
1 2 

2
Han Solo
Spock
2 1 
2 1 
1 2 
2 1 
2 1 
2 1 
2 1 
1 2 
2 1 
1 2 
2 1 
2 1 
1 2 
1 2 
1 2 
2 1 
2 1 
1 2 
2 1 
2 1 
1 2 
2 1 
1 2 
1 2 
1 2 
1 2 
2 1 
1 2 
2 1 
1 2 
2 1 
1 2 
2 1 
2 1 
2 1 
1 2 
1 2 
2 1 
1 2 
2 1 
1 2 
1 2 
2 1 
2 1 
2 1 
1 2 
2 1 
2 1 
2 1 
2 1 

2
Mike Bison
Bruce Porter
2 1 
1 2 
1 2 
1 2 
2 1 
2 1 
1 2 
2 1 
2 1 
2 1 
1 2 
1 2 
2 1 
1 2 
2 1 
2 1 
1 2 
2 1 
1 2 
2 1 
1 2 
2 1 
2 1 
1 2 
1 2 
2 1 
1 2 
2 1 
1 2 
1 2 
2 1 
1 2 
1 2 
1 2 
2 1 
1 2 
2 1 
2 1 
2 1 
2 1 
2 1 
1 2 
2 1 
2 1 
1 2 
1 2 
2 1 
2 1 
1 2 
1 2 

2
Abraham Lincoln
Luke Skywalker
2 1 
1 2 
2 1 
1 2 
2 1 
2 1 
1 2 
1 2 
1 2 
2 1 
2 1 
2 1 
2 1 
1 2 
2 1 
2 1 
2 1 
1 2 
2 1 
2 1 
1 2 
2 1 
2 1 
2 1 
1 2 
1 2 
1 2 
2 1 
1 2 
1 2 
1 2 
2 1 
1 2 
1 2 
2 1 
2 1 
1 2 
1 2 
2 1 
2 1 
1 2 
1 2 
2 1 
1 2 
1 2 
1 2 
1 2 
1 2 
2 1 
1 2 

2
Starbuck
Spock
1 2 
1 2 
1 2 
2 1 
1 2 
2 1 
2 1 
2 1 
2 1 
2 1 
2 1 
2 1 
2 1 
2 1 
1 2 
2 1 
2 1 
1 2 
2 1 
2 1 
1 2 
2 1 
1 2 
2 1 
1 2 
1 2 
2 1 
2 1 
2 1 
1 2 
2 1 
2 1 
2 1 
1 2 
1 2 
1 2 
2 1 
2 1 
2 1 
1 2 
1 2 
1 2 
1 2 
2 1 
1 2 
1 2 
1 2 
1 2 
2 1 
1 2 

2
Severus Snape
Bill Nye
2 1 
1 2 
1 2 
1 2 
2 1 
1 2 
1 2 
2 1 
1 2 
1 2 
1 2 
2 1 
1 2 
1 2 
2 1 
2 1 
1 2 
1 2 
1 2 
2 1 
2 1 
1 2 
2 1 
2 1 
2 1 
2 1 
1 2 
1 2 
1 2 
1 2 
1 2 
1 2 
1 2 
1 2 
2 1 
1 2 
2 1 
2 1 
1 2 
2 1 
2 1 
2 1 
2 1 
2 1 
1 2 
2 1 
2 1 
2 1 
2 1 
2 1 

2
Ross Perot
Princess Leia
1 2 
2 1 
1 2 
2 1 
2 1 
1 2 
2 1 
2 1 
2 1 
1 2 
1 2 
1 2 
1 2 
2 1 
2 1 
1 2 
1 2 
1 2 
1 2 
1 2 
1 2 
2 1 
1 2 
2 1 
1 2 
2 1 
1 2 
2 1 
1 2 
1 2 
1 2 
1 2 
2 1 
1 2 
1 2 
2 1 
1 2 
1 2 
2 1 
2 1 
2 1 
2 1 
1 2 
2 1 
1 2 
1 2 
2 1 
2 1 
1 2 
1 2 

2
Earline Youngblood
Nikola Tesla
2 1 
2 1 
2 1 
1 2 
1 2 
1 2 
2 1 
1 2 
2 1 
1 2 
1 2 
1 2 
1 2 
2 1 
2 1 
1 2 
1 2 
2 1 
2 1 
2 1 
2 1 
2 1 
1 2 
2 1 
1 2 
1 2 
2 1 
2 1 
2 1 
1 2 
2 1 
1 2 
2 1 
2 1 
2 1 
1 2 
2 1 
2 1 
1 2 
1 2 
2 1 
1 2 
1 2 
1 2 
2 1 
2 1 
1 2 
1 2 
1 2 
2 1 

