2

2
Starbuck
Steve Irwin
1 2 
1 2 
2 1 
2 1 
1 2 
1 2 
2 1 
1 2 
1 2 
1 2 
2 1 
2 1 
2 1 
1 2 
1 2 
2 1 
1 2 
1 2 
2 1 
1 2 
2 1 
1 2 
1 2 
2 1 
2 1 
2 1 
2 1 
1 2 
1 2 
2 1 
1 2 
1 2 
1 2 
1 2 
2 1 
2 1 
1 2 
2 1 
2 1 
2 1 
1 2 
1 2 
2 1 
1 2 
2 1 
2 1 
1 2 
1 2 
1 2 
1 2 

2
Robin Williams
Hillary Clinton
1 2 
2 1 
1 2 
1 2 
1 2 
2 1 
1 2 
2 1 
1 2 
1 2 
2 1 
1 2 
2 1 
2 1 
2 1 
2 1 
1 2 
2 1 
1 2 
1 2 
2 1 
2 1 
2 1 
1 2 
2 1 
1 2 
2 1 
2 1 
2 1 
2 1 
2 1 
2 1 
2 1 
1 2 
2 1 
2 1 
2 1 
2 1 
2 1 
2 1 
1 2 
1 2 
1 2 
1 2 
1 2 
2 1 
1 2 
2 1 
2 1 
2 1 

