5

3
The Joker
Samuel Jackson
Robin Williams
3 2 1 
2 1 3 
3 2 1 
1 3 2 
2 3 1 
3 2 1 
2 1 3 
1 2 3 
3 2 1 
3 1 2 
3 1 2 
1 3 2 
2 1 3 
3 2 1 
3 1 2 
2 3 1 
1 3 2 
1 2 3 
1 3 2 
2 3 1 
1 3 2 
1 2 3 
3 2 1 
2 3 1 
1 3 2 
2 3 1 
1 2 3 
2 3 1 
2 1 3 
2 3 1 
1 3 2 
2 3 1 
3 1 2 
2 3 1 
1 3 2 
3 1 2 
2 3 1 
1 2 3 
2 1 3 
2 3 1 
3 1 2 
3 1 2 
3 1 2 
1 3 2 
2 1 3 
1 3 2 
2 1 3 
1 3 2 
1 3 2 
2 3 1 
3 1 2 
3 2 1 
3 1 2 
2 3 1 
3 2 1 
1 3 2 
1 2 3 
1 3 2 
3 1 2 
3 1 2 
1 3 2 
3 2 1 
1 2 3 
2 1 3 
1 2 3 
3 2 1 
2 3 1 
3 2 1 
3 2 1 
3 2 1 
2 3 1 
2 1 3 
3 2 1 
1 3 2 
1 3 2 

3
Daniel Durbin
Captain Jean Luc Piccard
Weird "Al" Yankovic
1 3 2 
1 2 3 
2 1 3 
2 1 3 
1 3 2 
2 3 1 
3 2 1 
3 2 1 
3 2 1 
1 3 2 
1 3 2 
2 3 1 
1 2 3 
3 2 1 
1 3 2 
3 2 1 
1 3 2 
1 3 2 
3 2 1 
3 1 2 
1 3 2 
2 3 1 
2 3 1 
3 1 2 
2 3 1 
1 2 3 
1 2 3 
2 3 1 
2 1 3 
1 3 2 
3 1 2 
1 2 3 
1 2 3 
2 3 1 
1 3 2 
1 3 2 
2 1 3 
2 3 1 
3 2 1 
1 3 2 
1 3 2 
3 1 2 
1 3 2 
1 3 2 
1 2 3 
1 3 2 
2 1 3 
1 3 2 
2 1 3 
1 3 2 
2 1 3 
3 2 1 
3 2 1 
1 2 3 
1 3 2 
3 1 2 
1 3 2 
2 3 1 
1 2 3 
1 3 2 
3 1 2 
3 2 1 
3 2 1 
3 2 1 
1 3 2 
3 1 2 
1 3 2 
3 1 2 
3 2 1 
1 3 2 
1 2 3 
3 1 2 
3 1 2 
2 1 3 
1 3 2 

3
Reggie Coletti
Celes Chere
Robin Williams
1 2 3 
2 3 1 
1 3 2 
2 3 1 
2 1 3 
3 1 2 
1 3 2 
1 2 3 
2 3 1 
1 3 2 
2 3 1 
2 1 3 
1 3 2 
3 2 1 
1 2 3 
3 2 1 
2 3 1 
3 2 1 
2 3 1 
1 3 2 
2 1 3 
2 3 1 
2 3 1 
2 1 3 
2 1 3 
1 3 2 
3 1 2 
1 2 3 
2 3 1 
3 2 1 
3 1 2 
1 2 3 
2 3 1 
1 2 3 
1 2 3 
2 3 1 
3 2 1 
1 3 2 
1 2 3 
3 1 2 
1 3 2 
2 1 3 
1 2 3 
1 3 2 
2 1 3 
2 1 3 
3 1 2 
1 2 3 
3 1 2 
2 1 3 
1 3 2 
2 1 3 
1 2 3 
1 3 2 
2 1 3 
3 1 2 
1 2 3 
3 2 1 
1 3 2 
1 2 3 
3 1 2 
3 2 1 
3 2 1 
3 2 1 
1 2 3 
3 1 2 
3 1 2 
1 2 3 
1 3 2 
2 1 3 
1 2 3 
1 3 2 
3 1 2 
1 2 3 
3 2 1 

3
Nikola Tesla
The Joker
Ross Perot
1 3 2 
2 3 1 
2 3 1 
1 3 2 
2 1 3 
3 1 2 
1 3 2 
1 3 2 
2 1 3 
3 1 2 
3 1 2 
3 1 2 
3 2 1 
3 2 1 
3 1 2 
1 3 2 
1 2 3 
3 1 2 
2 1 3 
3 1 2 
1 2 3 
2 3 1 
1 2 3 
3 1 2 
1 2 3 
3 2 1 
3 2 1 
2 3 1 
2 1 3 
1 3 2 
3 1 2 
1 2 3 
1 3 2 
1 3 2 
1 2 3 
3 2 1 
1 2 3 
2 1 3 
1 2 3 
3 1 2 
1 2 3 
2 3 1 
2 1 3 
2 3 1 
3 2 1 
1 2 3 
2 3 1 
1 2 3 
3 1 2 
3 1 2 
3 2 1 
1 3 2 
1 3 2 
1 2 3 
2 1 3 
1 3 2 
2 3 1 
2 3 1 
2 3 1 
3 2 1 
1 2 3 
1 2 3 
3 1 2 
1 3 2 
3 2 1 
1 3 2 
3 1 2 
2 1 3 
3 2 1 
1 3 2 
3 1 2 
2 3 1 
3 2 1 
2 1 3 
2 1 3 

3
Starbuck
Charles "Chewie" Chewbacca (Furball)
Morgan Freeman
1 2 3 
1 2 3 
3 2 1 
2 1 3 
3 2 1 
2 3 1 
1 3 2 
3 1 2 
1 2 3 
2 3 1 
1 2 3 
3 1 2 
2 1 3 
1 3 2 
3 2 1 
3 1 2 
3 2 1 
1 2 3 
1 2 3 
1 2 3 
1 3 2 
3 2 1 
3 2 1 
1 2 3 
1 2 3 
1 3 2 
1 3 2 
3 2 1 
1 3 2 
3 1 2 
3 1 2 
2 1 3 
1 3 2 
1 2 3 
3 1 2 
2 1 3 
1 2 3 
2 3 1 
2 1 3 
2 3 1 
1 3 2 
2 3 1 
2 3 1 
1 2 3 
1 2 3 
1 2 3 
3 1 2 
2 1 3 
3 1 2 
2 1 3 
2 3 1 
3 1 2 
2 3 1 
2 1 3 
3 2 1 
2 3 1 
3 1 2 
3 2 1 
2 3 1 
2 3 1 
1 3 2 
2 1 3 
2 1 3 
1 3 2 
1 2 3 
2 1 3 
3 2 1 
1 2 3 
1 2 3 
3 2 1 
1 2 3 
1 3 2 
2 1 3 
3 1 2 
1 3 2 

